Year,Oblast,0,1,1.1,1.1.1,1.1.1.0,1.1.2,1.1.3,1.1.4,1.2,1.2.1,1.2.2,1.2.3,1.2.4,1.2.5,1.3,1.3.1,1.4,1.5,1.6,1.7,2,2.1,2.1.1,2.1.1.1,2.1.2,2.1.2.1,2.2,2.2.1,2.2.2,2.2.3,2.2.4,2.2.5,2.2.6,2.2.7,2.2.8,2.3,2.4,2.5,3,3.1,3.1.1,3.2,3.3,3.3.1,3.3.2,3.3.3,3.3.4,3.3.5,3.4,3.4.1,3.4.2,3.4.3,3.5,3.5.1,3.5.2,3.5.3,3.5.4,3.5.5,3.5.6,3.5.7,3.5.8,3.6,3.6.1,3.6.2,3.7,4,4.1,4.2,4.2.0,4.2.1,4.3,4.3.1,4.3.2,4.3.3,4.4,4.4.1,4.4.2,4.5,4.5.1,4.5.2,4.6,5
2000,Ловеч,1207.558294,92.97631938,10.20471798,7.370074098,,1.133857553,1.133857553,0,12.47243309,2.267715107,7.937002874,0.566928777,0,0,56.69287767,0,0.566928777,0,13.03936186,,790.2987148,15.87400575,0,0,,,726.8026918,15.30707697,270.4250265,162.7085589,9.070860428,81.63774385,65.7637381,3.968501437,165.5432028,10.77164676,1.70078633,35.14958416,225.0707244,49.88973235,1.133857553,20.40943596,39.11808559,16.44093453,22.67715107,0,,,0.566928777,0.566928777,0,0,0.566928777,0,0.566928777,0,0,0,0,0,0,112.8188266,5.669287767,23.24407985,1.70078633,99.21253593,5.102358991,43.08658703,,40.81887193,8.503931651,0,0,,39.11808559,0,23.24407985,,,,,
2000,Монтана,1448.759738,73.24895751,7.324895751,3.139241036,,1.569620518,1.046413679,0,14.6497915,3.139241036,9.417723108,0.523206839,0,0.523206839,42.90296083,1.046413679,0.523206839,0,7.84810259,,1088.270226,11.51055047,0,0,,,1022.869371,9.417723108,412.2869894,310.2616557,61.73840704,113.5358841,65.40085492,6.278482072,217.6540452,25.63713513,0.523206839,27.72996249,213.9915973,57.55275233,1.046413679,9.940929948,48.65823606,20.40506674,27.72996249,0.523206839,,,0,0,0,0,0.523206839,0,0.523206839,0,0,0,0,0,0,97.31647212,3.662447876,13.60337782,0,73.24895751,1.046413679,41.33334031,,39.76371979,5.232068394,0,0,,25.11392829,0,6.801688912,,,,,
2000,Пазарджик,1563.962249,96.12181775,12.68934888,1.903402332,,2.537869776,0.317233722,5.075739551,11.42041399,2.537869776,5.710206995,1.903402332,0.951701166,0,35.21294314,1.268934888,0.951701166,0,35.84741058,,1193.433262,29.50273614,1.903402332,1.58616861,,,1065.905306,38.38528036,542.1524308,157.3479261,34.57847569,96.75628519,188.4368308,6.344674439,154.1755889,37.11634547,2.220636054,58.68823856,188.1195971,29.50273614,2.220636054,7.930843049,49.48846062,43.46101991,4.441272107,1.58616861,,,2.855103498,2.537869776,0,0,3.172337219,0,2.855103498,0,0.317233722,0,0,0,0,91.99777936,6.979141883,13.0065826,3.172337219,86.28757237,2.220636054,44.72995479,,42.82655246,3.172337219,0,0,,30.45443731,0.317233722,11.42041399,,,,,
2000,Перник,2244.310955,116.0962947,14.34898024,3.261131874,,1.304452749,0,7.826716497,7.826716497,1.304452749,5.870037373,0.652226375,0,0,57.39592098,1.956679124,2.608905499,0,33.91577149,,1567.952205,51.5258836,0,0,,,1423.810176,22.82792312,720.7101441,276.5439829,33.91577149,178.0578003,195.6679124,7.174490122,217.1913828,15.00120662,3.261131874,74.35380672,432.4260864,34.56799786,0.652226375,7.826716497,210.669119,191.1023278,16.95788574,2.608905499,,,2.608905499,2.608905499,0,0,3.913358248,0,3.913358248,0,0,0,0,0,0,172.1877629,6.522263747,23.48014949,0.652226375,127.8363694,11.08784837,47.61252536,,46.30807261,4.565584623,0,0,,63.91818472,0,34.56799786,,,,,
2000,Плевен,1816.468142,87.67644885,9.08077506,4.070692268,,2.505041396,0.626260349,0.313130174,10.33329576,3.444431919,5.010082792,0.313130174,0.313130174,0.626260349,48.22204687,0.313130174,4.696952617,0,15.34337855,,1340.510277,69.82802891,0.939390523,0.939390523,,,1175.177545,45.09074512,601.5230652,278.0595949,31.31301745,144.0398803,159.3832588,5.949473315,293.0898433,30.99988727,4.696952617,59.80786332,200.4033117,30.37362692,2.81817157,19.41407082,39.14127181,25.98980448,12.52520698,0.626260349,,,2.191911221,1.565650872,0.313130174,0.313130174,1.878781047,0,1.878781047,0,0,0,0,0,0,106.7773895,2.505041396,26.929195,0.626260349,187.8781047,4.383822443,57.30282193,,53.23212966,13.77772768,0,0,,57.30282193,0,44.46448478,,,,,
2000,Пловдив,1368.708076,87.05224643,7.539958352,3.838524252,,1.096721215,0.137090152,1.645081822,10.69303184,3.838524252,4.661065163,0.822540911,0.822540911,0,22.61987506,0.411270456,2.878893189,0,43.32048799,,919.1894682,55.65860165,6.580327289,2.056352278,,,727.674526,14.5315561,398.7952517,102.4063434,13.43483488,81.29446005,123.1069564,7.4028682,93.22130326,86.91515628,3.838524252,45.10265996,242.6495688,17.54753944,2.741803037,9.459220478,131.3323655,120.7764238,9.185040174,1.370901519,,,2.056352278,1.645081822,0,0.411270456,7.677048504,0,7.265778048,0.274180304,0.137090152,0,0,0,0,73.48032139,4.935245467,26.184219,1.096721215,119.8167927,3.153073493,53.73933953,,49.21536452,8.225409111,0,0,,48.25573345,0.137090152,16.17663792,,,,,
2000,Разград,1374.787084,90.92507168,9.698674312,7.274005734,,0.606167145,0.606167145,0.606167145,20.00351577,8.486340023,10.9110086,0.606167145,0,0,42.43170012,1.212334289,2.424668578,0.606167145,15.76034576,,1080.189852,11.51717575,1.212334289,0,,,1003.206624,27.2775215,240.6483564,131.5382704,18.18501434,107.2915846,115.1717575,2.424668578,306.114408,32.12685866,1.818501434,31.52069152,147.2986161,29.70219008,0,6.061671445,44.25020155,35.15769438,9.092507168,0,,,11.51717575,11.51717575,0,0,1.212334289,0,1.212334289,0,0,0,0,0,0,53.94887586,4.243170012,18.18501434,0.606167145,56.37354444,5.455504301,22.42818435,,18.79118148,2.424668578,0,0,,24.85285293,0,15.15417861,,,,,
2000,Русе,1087.327338,68.95600607,7.98437965,3.629263477,,2.177558086,0.362926348,1.088779043,8.710232345,2.177558086,5.443895216,0.362926348,0,0.362926348,21.77558086,0.725852695,2.903410782,0,27.58240243,,784.2838374,35.20385573,2.903410782,1.814631739,,,694.6410295,6.532674259,283.4454776,224.6514092,13.42827487,62.06040546,185.4553637,3.26633713,121.2174001,22.86435991,3.629263477,27.94532877,131.7422642,19.59802278,0.725852695,4.71804252,39.92189825,36.65556112,2.903410782,0.362926348,,,1.451705391,1.451705391,0,0,0.725852695,0,0.725852695,0,0,0,0,0,0,64.6008899,1.451705391,11.97656947,0.725852695,102.3452301,3.26633713,50.08383599,,44.63994077,4.71804252,0,0,,42.09945634,0,23.5902126,,,,,
2000,Силистра,1344.558769,76.77568376,11.81164366,1.968607276,,4.593416977,0.656202425,3.281012127,15.74885821,5.249619403,9.186833955,0.656202425,0,0,36.74733582,0,1.968607276,0,10.49923881,,954.7745288,16.40506063,0,0,,,881.2798572,7.218226679,238.2014804,211.297181,22.96708489,90.55593469,128.6156754,2.624809701,269.0429944,20.99847761,0.656202425,35.43493097,139.1149142,26.90429944,0,4.593416977,16.40506063,8.530631529,7.874429104,0,,,0.656202425,0.656202425,0,0,1.968607276,0,1.968607276,0,0,0,0,0,0,87.27492257,4.593416977,20.34227519,1.312404851,173.8936427,4.593416977,28.21670429,,24.27948974,2.624809701,0,0,,45.93416977,0,17.06126306,,,,,
2000,Сливен,1092.777221,58.77487048,9.578127041,5.659802342,,0.435369411,0.870738822,0,11.7549741,3.482955288,5.659802342,0,0.870738822,1.306108233,27.8636423,0.435369411,0.870738822,0,8.707388219,,746.2231704,15.23792938,1.306108233,1.306108233,,,684.400714,6.530541164,195.9162349,149.7670774,34.82955288,77.49575515,64.43467282,3.047585877,189.3856938,17.41477644,0.435369411,28.73438112,164.1342679,24.38068701,1.741477644,9.14275763,42.66620227,39.18324699,3.482955288,0,,,0.435369411,0.435369411,0,0,0.870738822,0,0.870738822,0,0,0,0,0,0,86.63851278,8.707388219,27.8636423,0,123.6449127,2.176847055,44.84304933,,43.53694109,3.482955288,0,0,,9.14275763,0,4.353694109,,,,,
