Year,Oblast,0,1,1.1,1.1.1,1.1.1.0,1.1.2,1.1.3,1.1.4,1.2,1.2.1,1.2.2,1.2.3,1.2.4,1.2.5,1.3,1.3.1,1.4,1.5,1.6,1.7,2,2.1,2.1.1,2.1.1.1,2.1.2,2.1.2.1,2.2,2.2.1,2.2.2,2.2.3,2.2.4,2.2.5,2.2.6,2.2.7,2.2.8,2.3,2.4,2.5,3,3.1,3.1.1,3.2,3.3,3.3.1,3.3.2,3.3.3,3.3.4,3.3.5,3.4,3.4.1,3.4.2,3.4.3,3.5,3.5.1,3.5.2,3.5.3,3.5.4,3.5.5,3.5.6,3.5.7,3.5.8,3.6,3.6.1,3.6.2,3.7,4,4.1,4.2,4.2.0,4.2.1,4.3,4.3.1,4.3.2,4.3.3,4.4,4.4.1,4.4.2,4.5,4.5.1,4.5.2,4.6,5
2000,Ловеч,55.02347418,95.12195122,94.44444444,92.30769231,,100,100,0,100,100,100,100,0,0,96,0,100,0,86.95652174,,40.45911047,57.14285714,0,0,,,38.3775351,33.33333333,36.05870021,40.76655052,43.75,33.33333333,21.55172414,57.14285714,34.5890411,73.68421053,100,62.90322581,71.28463476,32.95454545,50,100,27.53623188,37.93103448,20,0,,,0,0,0,0,100,0,100,0,0,0,0,0,0,98.99497487,100,100,33.33333333,96.57142857,100,97.36842105,,97.22222222,100,0,0,,94.20289855,0,95.12195122,,,,,
2000,Монтана,61.43011918,91.42857143,92.85714286,100,,66.66666667,100,0,100,100,100,100,0,100,87.80487805,100,100,0,93.33333333,,56.63461538,59.09090909,0,0,,,55.54987212,61.11111111,45.68527919,56.8296796,82.20338983,44.23963134,52,66.66666667,50,75.51020408,100,77.35849057,63.0806846,25.45454545,50,94.73684211,30.10752688,28.20512821,30.18867925,100,,,0,0,0,0,100,0,100,0,0,0,0,0,0,98.38709677,71.42857143,96.15384615,0,97.85714286,100,98.73417722,,98.68421053,90,0,0,,97.91666667,0,100,,,,,
2000,Пазарджик,36.69371197,80.52805281,55,83.33333333,,75,100,12.5,97.22222222,100,100,83.33333333,100,0,77.47747748,100,66.66666667,0,87.61061947,,26.07655502,37.6344086,16.66666667,0,,,22.29166667,15.70247934,18.95845524,19.15322581,22.01834862,26.8852459,11.78451178,15,28.18930041,77.77777778,71.42857143,54.59459459,58.17875211,15.05376344,0,88,11.53846154,10.94890511,14.28571429,20,,,55.55555556,62.5,0,0,100,0,100,0,100,0,0,0,0,92.75862069,59.09090909,97.56097561,70,87.86764706,100,85.10638298,,85.92592593,80,0,0,,89.58333333,100,86.11111111,,,,,
2000,Перник,34.11798896,81.46067416,50,100,,100,0,8.333333333,100,100,100,100,0,0,79.54545455,100,100,0,92.30769231,,21.921797,35.44303797,0,0,,,19.69766377,68.57142857,17.37556561,14.62264151,26.92307692,33.6996337,10.66666667,9.090909091,27.32732733,43.47826087,80,48.24561404,49.92458522,15.09433962,0,91.66666667,15.17027864,15.35836177,3.846153846,75,,,100,100,0,0,100,0,100,0,0,0,0,0,0,95.83333333,100,75,0,87.24489796,76.47058824,95.89041096,,95.77464789,100,0,0,,82.65306122,0,88.67924528,,,,,
2000,Плевен,48.3192553,84.28571429,86.20689655,84.61538462,,100,50,0,87.87878788,90.90909091,93.75,100,0,100,81.16883117,100,73.33333333,0,93.87755102,,36.37000701,36.77130045,33.33333333,33.33333333,,,33.67972289,38.19444444,23.16501822,23.87387387,38,29.34782609,23.57563851,21.05263158,39.31623932,69.6969697,80,68.06282723,70.15625,14.43298969,22.22222222,95.16129032,28.8,26.5060241,32.5,50,,,28.57142857,40,0,0,100,0,100,0,0,0,0,0,0,96.77419355,100,90.69767442,100,93.33333333,85.71428571,92.34972678,,91.76470588,88.63636364,0,0,,90.16393443,0,88.73239437,,,,,
2000,Пловдив,45.88341346,88.66141732,70.90909091,89.28571429,,87.5,0,16.66666667,89.74358974,82.14285714,97.05882353,83.33333333,100,0,84.84848485,100,80.95238095,0,93.98734177,,35.8836689,38.66995074,35.41666667,26.66666667,,,26.37528259,21.69811321,22.06943967,19.00937082,20.40816327,25.12647555,24.38752784,18.51851852,34.26470588,89.58990536,85.71428571,78.11550152,43.95480226,21.09375,15,98.55072464,9.498956159,9.194097616,11.94029851,20,,,93.33333333,91.66666667,0,100,96.42857143,0,96.22641509,100,100,0,0,0,0,96.82835821,83.33333333,95.81151832,62.5,95.42334096,95.65217391,97.44897959,,97.77158774,93.33333333,0,0,,94.88636364,100,93.22033898,,,,,
2000,Разград,64.50617284,93.33333333,87.5,83.33333333,,100,100,100,93.93939394,85.71428571,100,100,0,0,91.42857143,100,100,100,100,,60.99887767,63.15789474,100,0,,,59.27492447,35.55555556,30.73047859,47.92626728,50,45.19774011,55.78947368,25,66.33663366,84.90566038,100,88.46153846,61.31687243,26.53061224,0,100,28.76712329,32.75862069,13.33333333,0,,,78.94736842,78.94736842,0,0,100,0,100,0,0,0,0,0,0,97.75280899,85.71428571,96.66666667,100,93.5483871,100,100,,100,75,0,0,,87.80487805,0,84,,,,,
2000,Русе,48.59813084,84.21052632,68.18181818,80,,83.33333333,100,0,95.83333333,83.33333333,100,100,0,100,76.66666667,50,100,0,89.47368421,,38.22304489,38.1443299,37.5,40,,,34.95297806,55.55555556,30.60179257,38.28756058,24.32432432,35.0877193,20.93933464,22.22222222,42.51497006,82.53968254,90,76.62337662,59.50413223,12.96296296,0,84.61538462,27.27272727,29.7029703,0,0,,,100,100,0,0,100,0,100,0,0,0,0,0,0,89.88764045,75,69.6969697,100,90.07092199,100,90.57971014,,91.05691057,84.61538462,0,0,,88.79310345,0,84.61538462,,,,,
2000,Силистра,53.44070278,88.03418803,77.77777778,100,,100,0,40,95.83333333,87.5,100,100,0,0,91.07142857,0,100,0,75,,40.34364261,68,0,0,,,38.34698436,63.63636364,24.51790634,37.57763975,42.85714286,27.53623188,27.04081633,75,41.95121951,81.25,100,51.85185185,72.16981132,17.07317073,0,85.71428571,28,30.76923077,25,0,,,100,100,0,0,100,0,100,0,0,0,0,0,0,95.4887218,71.42857143,90.32258065,100,95.09433962,57.14285714,93.02325581,,91.89189189,100,0,0,,92.85714286,0,92.30769231,,,,,
2000,Сливен,62.43027888,86.66666667,77.27272727,76.92307692,,100,50,0,96.2962963,87.5,100,0,100,100,84.375,100,50,0,95,,55.48424737,51.42857143,0,0,,,54.89821883,46.66666667,35.55555556,52.61627907,60,42.69662921,41.21621622,14.28571429,68.04597701,82.5,0,56.06060606,59.41644562,12.5,0,95.23809524,37.75510204,38.88888889,25,0,,,100,100,0,0,100,0,100,0,0,0,0,0,0,78.89447236,55,54.6875,0,96.83098592,100,91.26213592,,92,100,0,0,,100,0,100,,,,,
