year,bigregion,region,nhifFunding,diffRelMds,diffRelDeaths,diffNhifFunding
2009,Северозападен,Монтана,13972455,0.775,42.9355,-9
2009,Северозападен,Плевен,41343258,22.2791,-82.4768,32
2009,Северен-централен,Велико Търново,23009434,1.5899,-103.0159,43
2009,Северен-централен,Габрово,10930895,1.3664,-109.5539,-16
2009,Северен-централен,Разград,8899459,-2.1357,41.7408,-3
2009,Северен-централен,Русе,22288321,12.0059,-3.2277,-44
2009,Северен-централен,Силистра,7184701,4.3783,-6.1514,-14
2009,Североизточен,Варна,58356031,14.3696,-25.8742,-6
2009,Североизточен,Добрич,8931615,-4.5405,61.0889,-11
2009,Североизточен,Търговище,11125860,26.4673,-66.9495,-17
2009,Североизточен,Шумен,10552361,7.7286,-108.4001,-2
2009,Югоизточен,Бургас,22671183,-0.9162,-53.2183,-14
2009,Югоизточен,Сливен,20460149,7.6301,27.1627,4
2009,Югоизточен,Стара Загора,27861378,18.2313,18.2918,-24
2009,Югоизточен,Ямбол,14677010,33.4142,-40.0347,57
2009,Югозападен,Благоевград,19053308,6.8094,-18.801,13
2009,Югозападен,Кюстендил,11967708,20.0753,57.7781,-14
2009,Югозападен,Перник,6207498,6.0214,0.6996,-4
2009,Югозападен,София,13087061,9.6092,4.2122,-11
2009,Югозападен,София (столица),256873154,-24.5716,-11.23,-392
2009,Южен-централен,Кърджали,10027215,15.6076,-39.3486,-6
2009,Южен-централен,Пазарджик,30321724,14.8283,-45.3181,-4
2009,Южен-централен,Пловдив,113650224,11.201,-47.7605,5
2009,Южен-централен,Смолян,8796421,11.8499,-3.7451,-7
2009,Южен-централен,Хасково,15177000,4.7364,-44.6636,-16
2010,Северозападен,Видин,5848660,18.4352,92.1162,1
2010,Северозападен,Враца,20307510,3.4066,28.2073,-4
2010,Северозападен,Ловеч,14401343,23.8051,73.1486,-3
2010,Северозападен,Монтана,16141168,4.9384,63.2444,22
2010,Северозападен,Плевен,43066391,11.3025,99.1742,17
2010,Северен-централен,Велико Търново,25974926,1.494,108.7867,30
2010,Северен-централен,Габрово,12720986,13.3205,140.062,18
2010,Северен-централен,Разград,9162289,11.4548,33.8143,3
2010,Северен-централен,Русе,24497312,10.6574,6.7759,22
2010,Северен-централен,Силистра,7013147,1.254,68.8561,-2
2010,Североизточен,Варна,69430425,-2.4238,43.0976,111
2010,Североизточен,Добрич,9110511,1.098,8.3315,2
2010,Североизточен,Търговище,11354136,-18.3055,66.7855,2
2010,Североизточен,Шумен,11235990,9.1469,84.7795,7
2010,Югоизточен,Бургас,26060261,1.3725,36.482,34
2010,Югоизточен,Сливен,21354168,7.5585,82.6139,9
2010,Югоизточен,Стара Загора,32014160,31.7448,41.9866,42
2010,Югоизточен,Ямбол,21355306,-17.6614,94.1431,67
2010,Югозападен,Благоевград,24055696,4.0994,72.0701,50
2010,Югозападен,Кюстендил,12521226,2.4132,0.516,6
2010,Югозападен,Перник,6736388,3.152,29.8178,5
2010,Югозападен,София,13386058,16.0974,34.1243,3
2010,Югозападен,София (столица),290425804,-6.7295,-26.8687,336
2010,Южен-централен,Кърджали,11463307,2.5935,-18.2232,14
2010,Южен-централен,Пазарджик,31188365,7.1459,27.0268,9
2010,Южен-централен,Пловдив,136857889,5.3676,60.3204,232
2010,Южен-централен,Смолян,9413066,7.5782,49.5758,6
2010,Южен-централен,Хасково,15584370,-0.7211,67.4111,4
2011,Северозападен,Видин,5722876,-8.4634,24.1966,-1
2011,Северозападен,Враца,21700339,9.0946,-15.1064,14
2011,Северозападен,Ловеч,14321799,30.7355,51.1171,-1
2011,Северозападен,Монтана,16884453,19.006,38.0064,7
2011,Северозападен,Плевен,41558974,41.7362,74.2073,-15
2011,Северен-централен,Велико Търново,24269141,10.4781,21.0918,-17
2011,Северен-централен,Габрово,13986641,14.4182,56.3806,13
2011,Северен-централен,Разград,9275152,8.465,21.7306,1
2011,Северен-централен,Русе,25944235,12.1439,76.3881,14
2011,Северен-централен,Силистра,7326520,12.3016,84.1362,3
2011,Североизточен,Варна,69709564,-20.5562,-73.2819,3
2011,Североизточен,Добрич,9748328,11.8811,36.0324,6
2011,Североизточен,Търговище,12154845,18.9782,52.2678,8
2011,Североизточен,Шумен,12349862,4.5737,39.5175,11
2011,Югоизточен,Бургас,33908533,13.381,11.6023,78
2011,Югоизточен,Сливен,22390185,1.6844,-66.1502,10
2011,Югоизточен,Стара Загора,34716909,-9.2543,5.0685,27
2011,Югоизточен,Ямбол,16136549,34.9157,-23.3109,-52
2011,Югозападен,Благоевград,26262791,13.7826,-8.8867,22
2011,Югозападен,Кюстендил,12424792,7.1084,136.9163,-1
2011,Югозападен,Перник,6919397,-11.0039,124.3252,2
2011,Югозападен,София,14337493,7.5418,27.9371,10
2011,Югозападен,София (столица),302053714,4.3139,-9.2883,116
2011,Южен-централен,Кърджали,11435618,4.0123,95.6675,0
2011,Южен-централен,Пазарджик,34748934,23.9301,116.0144,36
2011,Южен-централен,Пловдив,147002572,16.7271,-16.2307,101
2011,Южен-централен,Смолян,9071241,-12.188,28.451,-3
2011,Южен-централен,Хасково,17295964,11.716,-6.1736,17
2012,Северозападен,Видин,6291968,4.8291,53.6452,6
2012,Северозападен,Враца,27858908,5.6842,97.2378,62
2012,Северозападен,Ловеч,14833382,-18.6886,43.5871,5
2012,Северозападен,Монтана,18567498,5.9662,52.1436,17
2012,Северозападен,Плевен,46505367,-1.6873,33.6761,49
2012,Северен-централен,Велико Търново,27316096,8.4657,8.8963,30
2012,Северен-централен,Габрово,15742139,22.0416,68.699,18
2012,Северен-централен,Разград,9869032,2.1919,61.7619,6
2012,Северен-централен,Русе,32245952,6.8839,24.6817,63
2012,Северен-централен,Силистра,8678647,4.446,30.9316,14
2012,Североизточен,Варна,84324176,1.7282,21.7649,146
2012,Североизточен,Добрич,12042443,-1.7936,33.5444,23
2012,Североизточен,Търговище,13231196,0.2405,26.3587,11
2012,Североизточен,Шумен,15879529,-5.7922,59.1705,35
2012,Югоизточен,Бургас,47455999,9.2198,11.481,135
2012,Югоизточен,Сливен,23390785,16.3827,-19.5275,10
2012,Югоизточен,Стара Загора,42316907,-5.278,8.2532,76
2012,Югоизточен,Ямбол,14512282,20.9956,52.8733,-16
2012,Югозападен,Благоевград,30460010,-0.2207,19.469,42
2012,Югозападен,Кюстендил,13051065,7.9659,38.5055,6
2012,Югозападен,Перник,7294333,7.3961,9.3746,4
2012,Югозападен,София,18117576,6.2499,25.8733,38
2012,Югозападен,София (столица),356088257,-3.2033,18.8343,540
2012,Южен-централен,Кърджали,12514342,-6.0906,-49.4897,11
2012,Южен-централен,Пазарджик,38757810,3.4884,-32.5507,40
2012,Южен-централен,Пловдив,180260726,22.8115,46.3959,333
2012,Южен-централен,Смолян,9297824,-0.1579,36.3381,2
2012,Южен-централен,Хасково,22681499,8.1197,1.1887,54
2013,Северозападен,Видин,7106120,10.7999,-216.0507,8
2013,Северозападен,Враца,31389131,4.3922,-160.685,35
2013,Северозападен,Ловеч,15663238,-2.993,-107.2913,8
2013,Северозападен,Монтана,19225513,-1.5115,-130.9391,7
2013,Северозападен,Плевен,55090964,21.2235,-158.7076,86
2013,Северен-централен,Велико Търново,30243295,-10.3906,-106.8619,29
2013,Северен-централен,Габрово,17802998,-10.23,-68.7896,21
2013,Северен-централен,Разград,11216146,-0.7743,-27.7897,13
2013,Северен-централен,Русе,38670141,9.4978,-22.0575,64
2013,Северен-централен,Силистра,10252929,0.9913,-120.7317,16
2013,Североизточен,Варна,103438109,10.5497,-6.5385,191
2013,Североизточен,Добрич,13152699,-2.1822,-40.5942,11
2013,Североизточен,Търговище,14401993,-3.1841,-113.4913,12
2013,Североизточен,Шумен,20727362,-7.7015,-91.6898,48
2013,Югоизточен,Бургас,57656940,8.9407,-45.464,102
2013,Югоизточен,Сливен,24481942,10.5147,-1.884,11
2013,Югоизточен,Стара Загора,49619766,2.5371,-28.3568,73
2013,Югоизточен,Ямбол,15538128,-16.8945,-107.7542,10
2013,Югозападен,Благоевград,33916087,4.0282,-41.1976,35
2013,Югозападен,Кюстендил,14423886,-19.9951,-73.3392,14
2013,Югозападен,Перник,7580935,-2.9461,-59.446,3
2013,Югозападен,София,20230609,-16.0206,-66.9194,21
2013,Югозападен,София (столица),435163372,30.1018,-37.951,791
2013,Южен-централен,Кърджали,13936388,8.5744,-24.2104,14
2013,Южен-централен,Пазарджик,42067941,1.7301,-34.5631,33
2013,Южен-централен,Пловдив,215056780,-5.1529,-63.9243,348
2013,Южен-централен,Смолян,10080563,-5.8978,-12.1927,8
2013,Южен-централен,Хасково,28904367,-5.4062,-22.047,62
